,simulation,n_samples,criterion,n_dimensions,score,runtime
88,Logarithmic,8,axis,10,100290.59290543028,1.3092620372772217
89,Logarithmic,8,axis,10,100474.64063207126,1.449556589126587
90,Logarithmic,8,oblique,10,99533.3107511177,1.3096306324005127
91,Logarithmic,8,oblique,10,99547.92077068567,1.1273047924041748
92,Logarithmic,8,oblique,10,99555.68941136054,1.255746603012085
93,Logarithmic,8,oblique,10,99724.75986790207,1.3319292068481445
94,Logarithmic,8,oblique,10,99291.90552251962,1.1327407360076904
95,Logarithmic,8,oblique,10,99967.08441039347,1.4846487045288086
96,Logarithmic,8,oblique,10,99843.94700597945,1.4955244064331055
97,Logarithmic,8,oblique,10,99739.24111420944,1.2215015888214111
98,Logarithmic,8,oblique,10,99541.20136548587,1.2251672744750977
99,Logarithmic,8,oblique,10,99338.59095116888,1.3341007232666016
100,Logarithmic,11,mae,10,94635.04233830306,1.467604637145996
101,Logarithmic,11,mae,10,94412.96751427621,1.317645788192749
102,Logarithmic,11,mae,10,94898.05495225641,1.3304245471954346
103,Logarithmic,11,mae,10,94943.04379769943,1.3545031547546387
104,Logarithmic,11,mae,10,94571.73368454778,1.3327040672302246
105,Logarithmic,11,mae,10,94473.06288241941,1.3136074542999268
106,Logarithmic,11,mae,10,94635.14398187152,1.2181546688079834
107,Logarithmic,11,mae,10,94466.11455994289,1.3502826690673828
108,Logarithmic,11,mae,10,94715.40686321628,1.2549309730529785
109,Logarithmic,11,mae,10,94288.09518389245,1.2516324520111084
110,Logarithmic,11,mse,10,94631.27881391291,1.234652042388916
111,Logarithmic,11,mse,10,95152.87813012769,1.1643452644348145
112,Logarithmic,11,mse,10,94628.58550395707,1.0520284175872803
113,Logarithmic,11,mse,10,94921.68628102585,1.1459009647369385
114,Logarithmic,11,mse,10,94936.49767173143,1.0731163024902344
115,Logarithmic,11,mse,10,94975.86070349945,1.166804313659668
116,Logarithmic,11,mse,10,94597.75432699661,1.1325674057006836
117,Logarithmic,11,mse,10,94753.02914776567,1.3119018077850342
118,Logarithmic,11,mse,10,94840.55097435301,1.3789236545562744
119,Logarithmic,11,mse,10,94431.44370441922,1.1022627353668213
120,Logarithmic,11,friedman_mse,10,95224.85040993437,1.1636199951171875
121,Logarithmic,11,friedman_mse,10,95412.45713575293,1.2064003944396973
122,Logarithmic,11,friedman_mse,10,95396.86567209358,1.1788341999053955
123,Logarithmic,11,friedman_mse,10,95002.01992613048,1.124990701675415
124,Logarithmic,11,friedman_mse,10,94844.26584631443,1.0790441036224365
125,Logarithmic,11,friedman_mse,10,94844.54939655126,1.0953922271728516
126,Logarithmic,11,friedman_mse,10,94697.71283133278,1.1413609981536865
127,Logarithmic,11,friedman_mse,10,94708.55004728853,1.0402660369873047
128,Logarithmic,11,friedman_mse,10,95153.57368572612,1.2381398677825928
129,Logarithmic,11,friedman_mse,10,94944.94235965818,1.0736005306243896
130,Logarithmic,11,axis,10,91857.44135788784,1.380096673965454
131,Logarithmic,11,axis,10,92184.5252541304,1.624988079071045
132,Logarithmic,11,axis,10,92209.59597831516,1.5821278095245361
133,Logarithmic,11,axis,10,92317.96776477479,1.4400701522827148
134,Logarithmic,11,axis,10,91974.65468848265,1.4719514846801758
135,Logarithmic,11,axis,10,91869.39809335752,1.5449790954589844
136,Logarithmic,11,axis,10,91983.94711831941,1.6759169101715088
137,Logarithmic,11,axis,10,92061.59775528262,1.5423197746276855
138,Logarithmic,11,axis,10,91974.91604075949,1.5386137962341309
139,Logarithmic,11,axis,10,91883.45835165703,1.6645269393920898
140,Logarithmic,11,oblique,10,91510.73380474691,1.4202170372009277
141,Logarithmic,11,oblique,10,91227.48363391301,1.2579519748687744
142,Logarithmic,11,oblique,10,91495.90140091332,1.2963190078735352
143,Logarithmic,11,oblique,10,91366.6207527181,1.2081987857818604
144,Logarithmic,11,oblique,10,91510.18371735238,1.1269159317016602
145,Logarithmic,11,oblique,10,91431.51189148209,1.2457826137542725
146,Logarithmic,11,oblique,10,91386.26140461038,1.1470165252685547
147,Logarithmic,11,oblique,10,91154.00451011237,1.253829002380371
148,Logarithmic,11,oblique,10,91535.77808286657,1.1638834476470947
149,Logarithmic,11,oblique,10,91562.07108931248,1.2675127983093262
150,Logarithmic,14,mae,10,98298.88015113027,1.3067843914031982
151,Logarithmic,14,mae,10,99092.6943709292,1.3070118427276611
152,Logarithmic,14,mae,10,98811.41152750449,1.4729633331298828
153,Logarithmic,14,mae,10,98224.24763483086,1.4217519760131836
154,Logarithmic,14,mae,10,99027.60046615431,1.3322386741638184
155,Logarithmic,14,mae,10,98895.52423594783,1.358020544052124
156,Logarithmic,14,mae,10,99238.63578247052,1.4484140872955322
157,Logarithmic,14,mae,10,98669.79598620781,1.3951475620269775
158,Logarithmic,14,mae,10,98933.80271163417,1.4049139022827148
159,Logarithmic,14,mae,10,98261.63023908951,1.5858988761901855
160,Logarithmic,14,mse,10,99299.72837052598,1.22324538230896
161,Logarithmic,14,mse,10,99031.55647268072,1.0691845417022705
