,n_samples,simulation,criterion,average,error
238,20,cubic,mse,141.74852518683946,5.855636456852276
239,20,cubic,friedman_mse,176.08831700190063,1.4281681454176431
240,25,joint_normal,mae,1.4664741990208177,0.006484754843391172
241,25,joint_normal,mse,1.4095789090735171,0.004168561534331773
242,25,joint_normal,friedman_mse,1.416650227410953,0.010780346055417212
243,25,sine_4pi,mae,0.10229901302702508,0.00020974235731992017
244,25,sine_4pi,mse,0.10253777341738497,0.00015987304121583803
245,25,sine_4pi,friedman_mse,0.10284295876298313,0.00022016866814877407
246,25,sine_16pi,mae,0.10257323355334087,0.000188675819906349
247,25,sine_16pi,mse,0.10270040002663547,0.0001915956177994437
248,25,sine_16pi,friedman_mse,0.10235655723290231,0.00023954463819879783
249,25,multi_noise,mae,0.14476699918059902,0.00038679017229115734
250,25,multi_noise,mse,0.14563105836101237,0.00028489955803199835
251,25,multi_noise,friedman_mse,0.14483134419403632,0.0002682637622237878
252,25,step,mae,0.5248246967671845,0.002188407257181633
253,25,step,mse,0.527636052009,0.0027509529322762745
254,25,step,friedman_mse,0.524179976424536,0.0014676755626848578
255,25,spiral,mae,227.18162958870667,2.2869189079348824
256,25,spiral,mse,223.06850345976318,2.1105250606040697
257,25,spiral,friedman_mse,221.51611665014906,2.023673055832685
258,25,circle,mae,0.10382933026187098,0.00046579508851095347
259,25,circle,mse,0.10675350652273745,0.0012011162765095669
260,25,circle,friedman_mse,0.10584294490462501,0.0005670753887249754
261,25,ellipse,mae,0.10523521953497231,0.0009971601638372573
262,25,ellipse,mse,0.10536764534676028,0.0004830265942808314
263,25,ellipse,friedman_mse,0.10980348998327161,0.001235647571496487
264,25,diamond,mae,0.08453671712734206,0.00016468453781177166
265,25,diamond,mse,0.08414073558742398,0.00017055310856719822
266,25,diamond,friedman_mse,0.08388663647836347,0.00013130319628883294
267,25,log,mae,0.45384977686236005,0.0010042853506031005
268,25,log,mse,0.4562336816190696,0.001453155598666868
269,25,log,friedman_mse,0.45376487784509534,0.001515389171053448
270,25,quadratic,mae,3.4840651800637183,0.02134327187179638
271,25,quadratic,mse,3.255070901350467,0.03842310198154895
272,25,quadratic,friedman_mse,3.321066912131794,0.013038369015326571
273,25,w_shape,mae,3.865915977960929,0.08234446502294519
274,25,w_shape,mse,4.849430350381054,0.16376257788157841
275,25,w_shape,friedman_mse,4.9501749981710255,0.17583043243975816
