,sim,n_samples,n_dim,split,mse
60,cub_sim,30,4,mae,5707.102788935231
61,cub_sim,30,4,mae,4957.534925919559
62,cub_sim,30,4,mae,3994.707649711133
63,cub_sim,30,4,mae,384.3720456332928
64,cub_sim,30,4,mae,1057.1549482389996
65,cub_sim,30,4,mae,1610.9260343794667
66,cub_sim,30,4,mae,495.6342216494261
67,cub_sim,30,4,mae,836.9586352746913
68,cub_sim,30,4,mae,1152.2036997935395
69,cub_sim,30,4,mae,1221.5120217990268
70,spiral_sim,30,4,mae,0.18512584410387847
71,spiral_sim,30,4,mae,0.5081879004536821
72,spiral_sim,30,4,mae,2.4347562148632194
73,spiral_sim,30,4,mae,1.210289866771862
74,spiral_sim,30,4,mae,1.3306865114660353
75,spiral_sim,30,4,mae,0.9259844228689563
76,spiral_sim,30,4,mae,0.9625546566222419
77,spiral_sim,30,4,mae,2.0481745865527548
78,spiral_sim,30,4,mae,2.869123613863038
79,spiral_sim,30,4,mae,2.0931517327321116
80,cub_sim,30,5,mae,1275.8344018036173
81,cub_sim,30,5,mae,11963.222391074616
82,cub_sim,30,5,mae,2567.133929346452
83,cub_sim,30,5,mae,943.6901451486722
84,cub_sim,30,5,mae,10644.907045638769
85,cub_sim,30,5,mae,297.50851702393317
86,cub_sim,30,5,mae,7024.654597000628
87,cub_sim,30,5,mae,3850.483992902622
88,cub_sim,30,5,mae,4583.972452086284
89,cub_sim,30,5,mae,332.5744152934786
90,spiral_sim,30,5,mae,1.1123121054843044
91,spiral_sim,30,5,mae,1.1147719326817884
92,spiral_sim,30,5,mae,0.9796455706340812
93,spiral_sim,30,5,mae,3.041293887590088
94,spiral_sim,30,5,mae,1.8724068313197284
95,spiral_sim,30,5,mae,1.3918410679240316
96,spiral_sim,30,5,mae,2.121539639961136
97,spiral_sim,30,5,mae,1.2139091342803379
98,spiral_sim,30,5,mae,0.7787738163842293
99,spiral_sim,30,5,mae,3.2315397300182482
100,cub_sim,30,6,mae,7186.558938562214
101,cub_sim,30,6,mae,189.61409612192656
102,cub_sim,30,6,mae,1823.2111664346005
103,cub_sim,30,6,mae,2354.3887092499963
104,cub_sim,30,6,mae,10222.026368792858
105,cub_sim,30,6,mae,4279.228188645275
106,cub_sim,30,6,mae,3774.862568087772
107,cub_sim,30,6,mae,2113.5610555639582
108,cub_sim,30,6,mae,2322.1783952929977
109,cub_sim,30,6,mae,1194.0028027616843
110,spiral_sim,30,6,mae,1.3875429112670505
111,spiral_sim,30,6,mae,2.2146230754552847
112,spiral_sim,30,6,mae,4.788587023432429
113,spiral_sim,30,6,mae,2.537163579936004
114,spiral_sim,30,6,mae,3.0254330163090417
115,spiral_sim,30,6,mae,2.6699664953902187
116,spiral_sim,30,6,mae,1.700723849261938
117,spiral_sim,30,6,mae,3.2816357477806055
118,spiral_sim,30,6,mae,0.9594083584339222
119,spiral_sim,30,6,mae,0.7076105089961363
120,cub_sim,30,7,mae,10496.297650449204
121,cub_sim,30,7,mae,667.8221384446338
122,cub_sim,30,7,mae,789.3375531217041
123,cub_sim,30,7,mae,404.606188123529
124,cub_sim,30,7,mae,3620.5042082835007
125,cub_sim,30,7,mae,23231.033888500064
126,cub_sim,30,7,mae,4241.612092116897
127,cub_sim,30,7,mae,3299.119699497201
128,cub_sim,30,7,mae,4053.617831679017
129,cub_sim,30,7,mae,1398.0471476633281
130,spiral_sim,30,7,mae,3.444241632155074
131,spiral_sim,30,7,mae,1.950743596213392
132,spiral_sim,30,7,mae,1.3908774963275061
133,spiral_sim,30,7,mae,6.383389061553987
134,spiral_sim,30,7,mae,1.700367719104931
135,spiral_sim,30,7,mae,3.476497572786931
136,spiral_sim,30,7,mae,2.240377941216658
137,spiral_sim,30,7,mae,3.1980338687767897
138,spiral_sim,30,7,mae,3.494289937664833
139,spiral_sim,30,7,mae,3.623453686754534
