,n_samples,n_dim,split,mse
215,30,5,mae,0.363564394152008
216,30,5,mae,0.3579904715132869
217,30,5,mae,0.3758217811597374
218,30,5,mae,0.39187756388470707
219,30,5,mae,0.3975077271149727
220,30,6,mae,0.4230477608585007
221,30,6,mae,0.44373910164438324
222,30,6,mae,0.428745169700972
223,30,6,mae,0.3942841221571664
224,30,6,mae,0.41224231255505334
225,30,6,mae,0.41159427719287683
226,30,6,mae,0.4403002455438901
227,30,6,mae,0.41463993766468593
228,30,6,mae,0.44801777500390416
229,30,6,mae,0.43109876661165164
230,30,7,mae,0.5090814358014027
231,30,7,mae,0.5046009120259078
232,30,7,mae,0.4340148925922397
233,30,7,mae,0.46540340126982804
234,30,7,mae,0.4726381224452017
235,30,7,mae,0.47497169754471913
236,30,7,mae,0.43565031148987354
237,30,7,mae,0.4871302169162338
238,30,7,mae,0.4887422472061719
239,30,7,mae,0.47552271977910826
240,30,8,mae,0.49746343442300134
241,30,8,mae,0.48203812064700113
242,30,8,mae,0.5006157034024793
243,30,8,mae,0.5308006858957895
244,30,8,mae,0.48873702831733984
245,30,8,mae,0.467298478873573
246,30,8,mae,0.49625618621181516
247,30,8,mae,0.5246601942503842
248,30,8,mae,0.4570935449397975
249,30,8,mae,0.4927468968138405
250,30,9,mae,0.5082982300729705
251,30,9,mae,0.5272165495538768
252,30,9,mae,0.570747886925785
253,30,9,mae,0.49818332343906724
254,30,9,mae,0.5271175918168415
255,30,9,mae,0.5245961222478753
256,30,9,mae,0.5534629150269665
257,30,9,mae,0.5339982589760122
258,30,9,mae,0.5820862973440245
259,30,9,mae,0.5556135861421622
260,30,10,mae,0.5738557282882826
261,30,10,mae,0.534834790110193
262,30,10,mae,0.5581469821281375
263,30,10,mae,0.5817488201197646
264,30,10,mae,0.5873721344521297
265,30,10,mae,0.5495731235980151
266,30,10,mae,0.5802602890230892
267,30,10,mae,0.566070886157332
268,30,10,mae,0.6169173581244849
269,30,10,mae,0.5685423612298888
270,40,2,mae,0.21239450649153854
271,40,2,mae,0.16159279220551934
272,40,2,mae,0.18130463188978788
273,40,2,mae,0.19995067445491196
274,40,2,mae,0.20010825399894397
275,40,2,mae,0.15596060910930262
276,40,2,mae,0.18742876166472144
277,40,2,mae,0.17645885112781767
278,40,2,mae,0.18068643141640578
279,40,2,mae,0.21057179759403594
280,40,3,mae,0.23088292623371615
281,40,3,mae,0.2334439181801939
282,40,3,mae,0.253382190760006
283,40,3,mae,0.24027313498890343
284,40,3,mae,0.2558283779583373
285,40,3,mae,0.23645094031651054
286,40,3,mae,0.2696691321786075
287,40,3,mae,0.2574168829797611
288,40,3,mae,0.24172466897326467
289,40,3,mae,0.2705665350543789
290,40,4,mae,0.2956020665771689
291,40,4,mae,0.2738936576755816
292,40,4,mae,0.28309464548252045
293,40,4,mae,0.2651803727041582
294,40,4,mae,0.2971671399945412
295,40,4,mae,0.3203214830460084
296,40,4,mae,0.31354143297459836
297,40,4,mae,0.2949201097589894
298,40,4,mae,0.29305495033196
299,40,4,mae,0.2830829861172988
300,40,5,mae,0.30538645244138485
301,40,5,mae,0.33877090139149335
302,40,5,mae,0.35947512002366677
303,40,5,mae,0.33884509014692726
304,40,5,mae,0.3501998564608436
305,40,5,mae,0.3575149957920233
306,40,5,mae,0.3281699660038116
307,40,5,mae,0.32408824234894884
308,40,5,mae,0.3558635836430877
309,40,5,mae,0.33722306465345836
310,40,6,mae,0.3566400126334196
311,40,6,mae,0.3697875314597062
312,40,6,mae,0.36468477979203817
313,40,6,mae,0.3732380458569514
314,40,6,mae,0.36639592610823424
315,40,6,mae,0.343494345403962
316,40,6,mae,0.3793657333634025
317,40,6,mae,0.38228803040226433
318,40,6,mae,0.38304726793606086
319,40,6,mae,0.3595620883808021
320,40,7,mae,0.42215158282451143
321,40,7,mae,0.4082906676338238
322,40,7,mae,0.4109921231416397
323,40,7,mae,0.4274274133440243
324,40,7,mae,0.40455342453699783
325,40,7,mae,0.41523682950825735
326,40,7,mae,0.3741703381125818
327,40,7,mae,0.40737579848373084
328,40,7,mae,0.4178511349974353
329,40,7,mae,0.4258009043502781
330,40,8,mae,0.4491132400017335
331,40,8,mae,0.4291219213312837
332,40,8,mae,0.3943299007064127
333,40,8,mae,0.4331345947238123
334,40,8,mae,0.4232203157681428
335,40,8,mae,0.46118205877850665
336,40,8,mae,0.4169126231231678
337,40,8,mae,0.43827102095113457
338,40,8,mae,0.441705668449207
339,40,8,mae,0.41643816288726504
340,40,9,mae,0.4738935658516402
341,40,9,mae,0.4759649046208497
342,40,9,mae,0.45486769417316675
343,40,9,mae,0.47783013043665407
344,40,9,mae,0.46945680972807846
345,40,9,mae,0.48728691668817187
346,40,9,mae,0.4734187118122183
347,40,9,mae,0.4542844058619627
348,40,9,mae,0.4482090255651703
349,40,9,mae,0.41948136472631503
350,40,10,mae,0.5037188674879312
351,40,10,mae,0.49007531706638
352,40,10,mae,0.493316797565459
353,40,10,mae,0.4941959762132854
354,40,10,mae,0.4644638277800198
355,40,10,mae,0.47911420279025546
356,40,10,mae,0.4999501644791386
357,40,10,mae,0.5028096618701227
358,40,10,mae,0.5242633329345882
359,40,10,mae,0.49111874325862265
360,50,2,mae,0.1505183810515245
361,50,2,mae,0.15758416664469904
362,50,2,mae,0.16072650354517587
363,50,2,mae,0.1776610500645522
364,50,2,mae,0.16116303081218164
365,50,2,mae,0.15455482585536143
366,50,2,mae,0.1373847397408272
367,50,2,mae,0.1719453272482854
368,50,2,mae,0.1637437265118411
369,50,2,mae,0.2124091038598336
370,50,3,mae,0.23092510844710282
371,50,3,mae,0.22504741449218735
372,50,3,mae,0.2192515000396452
373,50,3,mae,0.19099050667008494
374,50,3,mae,0.21085740894425828
375,50,3,mae,0.2298560055059092
376,50,3,mae,0.23511870349768071
377,50,3,mae,0.2301665170660909
378,50,3,mae,0.20445803703621634
379,50,3,mae,0.22979241939591932
380,50,4,mae,0.27024853006187494
381,50,4,mae,0.2468817783428368
382,50,4,mae,0.2653199292274454
383,50,4,mae,0.2466296064591958
384,50,4,mae,0.2777423005171143
385,50,4,mae,0.2549770682353269
386,50,4,mae,0.28410388951768506
387,50,4,mae,0.27587798930551805
388,50,4,mae,0.25089096931850796
389,50,4,mae,0.2879159658265806
390,50,5,mae,0.31158940707430544
391,50,5,mae,0.32099469997795765
392,50,5,mae,0.3019270912890799
393,50,5,mae,0.3209600840856971
394,50,5,mae,0.29825335350108007
395,50,5,mae,0.32680049600652844
396,50,5,mae,0.3118781038020235
397,50,5,mae,0.291793292550108
398,50,5,mae,0.3131948011046975
399,50,5,mae,0.2850143981858613
400,50,6,mae,0.33089010420331305
401,50,6,mae,0.32253511899389364
402,50,6,mae,0.34296239304137727
403,50,6,mae,0.34884364897778924
404,50,6,mae,0.35226448104852304
405,50,6,mae,0.3319933656321031
406,50,6,mae,0.36260258507772675
407,50,6,mae,0.33896095635904444
408,50,6,mae,0.34931504669679503
409,50,6,mae,0.3424369845918317
410,50,7,mae,0.3733238330700622
411,50,7,mae,0.36733107631321793
412,50,7,mae,0.3833760488290288
413,50,7,mae,0.37570237318654537
414,50,7,mae,0.38122427463956404
415,50,7,mae,0.35142287871273786
416,50,7,mae,0.35976726173827117
417,50,7,mae,0.3839457218544658
418,50,7,mae,0.36877340512369294
419,50,7,mae,0.38957279142309464
420,50,8,mae,0.3924786102522816
421,50,8,mae,0.39707186671430095
422,50,8,mae,0.38958111086117775
423,50,8,mae,0.37448062128178095
424,50,8,mae,0.39894558385108125
425,50,8,mae,0.3764127983367526
426,50,8,mae,0.3793944599109997
427,50,8,mae,0.3892817245213366
428,50,8,mae,0.3838659428368258
429,50,8,mae,0.39250363065680993
430,50,9,mae,0.3921614516912597
431,50,9,mae,0.4154200639280818
