,n_samples,n_dim,scale,split,mse
51,30,3,0.5102040816326531,mae,0.49456627852996776
52,30,3,0.5102040816326531,mae,0.8384318215814706
53,30,3,0.5102040816326531,mae,0.9843931753910057
54,30,3,0.5102040816326531,mae,0.9588372879530467
55,30,3,0.5102040816326531,mae,1.0922520382335748
56,30,3,0.5102040816326531,mae,1.4368123801943686
57,30,3,0.5102040816326531,mae,1.0294899784107332
58,30,3,0.5102040816326531,mae,1.107321913488028
59,30,3,0.5102040816326531,mae,0.48726154539850774
60,30,3,0.6122448979591837,mae,0.5778792805709414
61,30,3,0.6122448979591837,mae,0.8435517976516529
62,30,3,0.6122448979591837,mae,1.5413074429147993
63,30,3,0.6122448979591837,mae,0.8964793796075632
64,30,3,0.6122448979591837,mae,1.0524752001899687
65,30,3,0.6122448979591837,mae,1.8222995718607362
66,30,3,0.6122448979591837,mae,1.086747605435427
67,30,3,0.6122448979591837,mae,1.2884585560938429
68,30,3,0.6122448979591837,mae,0.8496704988393382
69,30,3,0.6122448979591837,mae,0.7792156992473159
70,30,3,0.7142857142857143,mae,1.3355321049974382
71,30,3,0.7142857142857143,mae,0.5501606013117667
72,30,3,0.7142857142857143,mae,0.9224350423082475
73,30,3,0.7142857142857143,mae,0.8002867563031152
74,30,3,0.7142857142857143,mae,0.8200948217186343
75,30,3,0.7142857142857143,mae,1.4022022638112144
76,30,3,0.7142857142857143,mae,1.8603604412627537
77,30,3,0.7142857142857143,mae,1.0628716495540433
78,30,3,0.7142857142857143,mae,0.8689919804981919
79,30,3,0.7142857142857143,mae,0.5133032783080355
80,30,3,0.8163265306122449,mae,0.8226891843589216
81,30,3,0.8163265306122449,mae,2.543071978362121
82,30,3,0.8163265306122449,mae,1.2313945016980195
83,30,3,0.8163265306122449,mae,1.1994060599869674
84,30,3,0.8163265306122449,mae,1.715801107906248
85,30,3,0.8163265306122449,mae,1.63439431946249
86,30,3,0.8163265306122449,mae,1.2754700339464906
87,30,3,0.8163265306122449,mae,1.4283270135203112
88,30,3,0.8163265306122449,mae,0.9738709560870099
89,30,3,0.8163265306122449,mae,2.1382915486438328
90,30,3,0.9183673469387755,mae,1.0980284682778187
91,30,3,0.9183673469387755,mae,1.8116282942043278
92,30,3,0.9183673469387755,mae,1.47312189074886
93,30,3,0.9183673469387755,mae,1.2891076436447746
94,30,3,0.9183673469387755,mae,0.7405450835001515
95,30,3,0.9183673469387755,mae,1.6536211311696305
96,30,3,0.9183673469387755,mae,1.4992608711109718
97,30,3,0.9183673469387755,mae,1.2415519617017508
98,30,3,0.9183673469387755,mae,1.0355931567697263
99,30,3,0.9183673469387755,mae,1.403704815856362
100,30,3,1.0204081632653061,mae,1.6786944504475338
101,30,3,1.0204081632653061,mae,1.5669322545936237
102,30,3,1.0204081632653061,mae,1.5465446064448656
103,30,3,1.0204081632653061,mae,1.1506549817287441
104,30,3,1.0204081632653061,mae,1.497945765356276
105,30,3,1.0204081632653061,mae,1.2223295728245824
106,30,3,1.0204081632653061,mae,1.2598567902285511
107,30,3,1.0204081632653061,mae,1.1352826831716176
108,30,3,1.0204081632653061,mae,1.9964992497240064
109,30,3,1.0204081632653061,mae,1.3973093876225027
110,30,3,1.1224489795918369,mae,2.956611324196101
111,30,3,1.1224489795918369,mae,1.5096171787814816
112,30,3,1.1224489795918369,mae,2.666991791465971
113,30,3,1.1224489795918369,mae,1.666309143769408
114,30,3,1.1224489795918369,mae,2.7703619042798673
115,30,3,1.1224489795918369,mae,0.87389325321198
116,30,3,1.1224489795918369,mae,1.9586119893300233
117,30,3,1.1224489795918369,mae,2.7023200370678
118,30,3,1.1224489795918369,mae,2.0023311208782215
119,30,3,1.1224489795918369,mae,1.4969561183707385
120,30,3,1.2244897959183674,mae,1.5935020671900009
121,30,3,1.2244897959183674,mae,1.1519568671957918
122,30,3,1.2244897959183674,mae,1.7549581765862923
123,30,3,1.2244897959183674,mae,0.9599088376143986
124,30,3,1.2244897959183674,mae,2.3079258329627668
125,30,3,1.2244897959183674,mae,1.309845162719867
126,30,3,1.2244897959183674,mae,4.081441210842079
127,30,3,1.2244897959183674,mae,3.2083069478035156
128,30,3,1.2244897959183674,mae,2.649922784443674
129,30,3,1.2244897959183674,mae,1.7941938381165867
130,30,3,1.3265306122448979,mae,1.7344728581878361
131,30,3,1.3265306122448979,mae,3.2611744294378093
132,30,3,1.3265306122448979,mae,2.650860892279456
133,30,3,1.3265306122448979,mae,1.2751149384745941
134,30,3,1.3265306122448979,mae,2.423716237824631
135,30,3,1.3265306122448979,mae,2.9706542326292067
136,30,3,1.3265306122448979,mae,1.7635157952763423
137,30,3,1.3265306122448979,mae,1.8939413563765077
138,30,3,1.3265306122448979,mae,0.9032730083082364
139,30,3,1.3265306122448979,mae,2.0908795542254777
140,30,3,1.4285714285714286,mae,3.1339734845881444
141,30,3,1.4285714285714286,mae,2.244380373107562
142,30,3,1.4285714285714286,mae,2.0746508023644155
143,30,3,1.4285714285714286,mae,2.2703048135853363
144,30,3,1.4285714285714286,mae,2.613068082358331
145,30,3,1.4285714285714286,mae,1.867826610919678
146,30,3,1.4285714285714286,mae,2.2114962540601555
