,n_samples,simulation,criterion,average,error
157,15,two_parabolas,mse,0.042382232355050634,0.00047985340626477196
158,15,two_parabolas,friedman_mse,0.045256089983457926,0.0009231363564499926
159,15,fourth_root,mae,0.20173978148155713,0.0030116811809919293
160,15,fourth_root,mse,0.19168655253831707,0.002679997080472634
161,15,fourth_root,friedman_mse,0.19694043446433793,0.001732287159222984
162,15,multi_indept,mae,0.11527448007814645,0.0021606244876552667
163,15,multi_indept,mse,0.11382816262524265,0.001380555471882783
164,15,multi_indept,friedman_mse,0.11443042498914177,0.0023440065764891117
165,15,bernoulli,mae,1.746258036982055,0.028031684984407737
166,15,bernoulli,mse,1.7319234087248812,0.020378766051256398
167,15,bernoulli,friedman_mse,1.6820735062789154,0.02535882535080454
168,15,square,mae,0.06028696839740131,0.00012674329376143314
169,15,square,mse,0.06080451602791609,0.000203480582070797
170,15,square,friedman_mse,0.060943730986856404,0.00018066918521706475
171,15,linear,mae,0.7562349102084069,0.005445876222170951
172,15,linear,mse,0.7537992699129539,0.0067490797681338715
173,15,linear,friedman_mse,0.7799539127066463,0.0057416685727813
174,15,exponential,mae,175.01289183357022,2.630913806260843
175,15,exponential,mse,184.25065026608564,2.8620398047983735
176,15,exponential,friedman_mse,193.02685217108643,8.54974706338759
177,15,cubic,mae,153.3108021637058,1.9170516142151097
178,15,cubic,mse,135.82575791382402,1.2097290035585149
179,15,cubic,friedman_mse,163.8568305680282,1.7694845381966422
180,20,joint_normal,mae,0.1122034020742136,0.0003161791904642641
181,20,joint_normal,mse,0.11291391075913564,0.0005954040539825802
182,20,joint_normal,friedman_mse,0.11072844605521584,0.0003918597180392646
183,20,sine_4pi,mae,0.07312102581669076,0.0002279279353852777
184,20,sine_4pi,mse,0.07283379263032719,0.00015501058642210586
185,20,sine_4pi,friedman_mse,0.07345825414470245,0.00026748759703214167
186,20,sine_16pi,mae,0.0732449977118601,0.0002531563319824407
187,20,sine_16pi,mse,0.07333682629591445,0.0002468656727509434
188,20,sine_16pi,friedman_mse,0.07349234973365622,0.00030579233246510036
189,20,multi_noise,mae,0.10221691411092426,0.00035182367381299934
190,20,multi_noise,mse,0.10599989431740812,0.0003851468273334446
191,20,multi_noise,friedman_mse,0.10479218098250812,0.0003811701124301723
192,20,step,mae,0.5452021979049416,0.0031236549044504594
193,20,step,mse,0.5464574189461074,0.0028102184747532356
194,20,step,friedman_mse,0.5509265371970845,0.004317904723699021
195,20,spiral,mae,5.2100047310141235,0.09682769432039193
196,20,spiral,mse,5.307606820360504,0.11971827755760665
197,20,spiral,friedman_mse,5.000580392492786,0.04353203484521591
198,20,circle,mae,0.07881492773930511,0.0009157082827546935
199,20,circle,mse,0.07642564171058418,0.0007500773936046447
200,20,circle,friedman_mse,0.07616544803516706,0.0008954556004039342
201,20,ellipse,mae,0.07492249244719908,0.0007002631490477474
202,20,ellipse,mse,0.07635585343445431,0.0010038999458347074
203,20,ellipse,friedman_mse,0.07629067755770903,0.00094916929291819
204,20,diamond,mae,0.06045825904304748,0.0001583535773900179
205,20,diamond,mse,0.06013775545530357,0.000117756059753294
206,20,diamond,friedman_mse,0.060411593930271866,0.00020421411037912813
207,20,log,mae,0.3130784511952629,0.0008447907398384465
208,20,log,mse,0.3199253046156198,0.0013566000603260123
209,20,log,friedman_mse,0.30877795755535786,0.0010850493791981124
210,20,quadratic,mae,3.301850379096058,0.036104067455037116
211,20,quadratic,mse,3.2821724363374947,0.04620234367391562
212,20,quadratic,friedman_mse,3.269638838125606,0.02472542949712272
213,20,w_shape,mae,4.239408784836204,0.28853662609076897
214,20,w_shape,mse,3.68788371026137,0.057930849369454314
215,20,w_shape,friedman_mse,4.0822252631907165,0.3738491311403708
216,20,two_parabolas,mae,0.0432006769715805,0.0007146623839441084
217,20,two_parabolas,mse,0.04341398485016355,0.000357559037272566
218,20,two_parabolas,friedman_mse,0.04555674794873768,0.0009460478081150179
219,20,fourth_root,mae,0.20346799774831684,0.0014477097605633997
220,20,fourth_root,mse,0.20062044850519856,0.0021233892655821446
221,20,fourth_root,friedman_mse,0.1893855050606832,0.001212856102206744
222,20,multi_indept,mae,0.11355101659382974,0.0008966648179597387
223,20,multi_indept,mse,0.11330098109894396,0.0011457710559113672
224,20,multi_indept,friedman_mse,0.11238024902877489,0.0005970020398690987
225,20,bernoulli,mae,1.727314537133779,0.02880737534823041
